timepoint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2022-06-02 15:54:03.836406,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.2,500.6,500.4,500.0,500.4,500.0,497.1,500.2
2022-06-02 15:54:04.852149,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.6,500.2,499.8,500.2,499.6,500.8,497.7,499.8
2022-06-02 15:54:05.851917,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.4,500.0,499.8,500.4,499.6,500.8,497.9,500.2
2022-06-02 15:54:06.898545,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.2,499.2,499.6,500.0,499.6,500.4,498.8,500.2
2022-06-02 15:54:07.851461,500.0,500.0,500.0,499.0,500.0,500.0,500.0,500.0,499.6,500.6,500.2,500.2,500.0,500.6,498.6,500.6
2022-06-02 15:54:08.913706,500.0,500.0,500.0,500.0,500.1,500.0,500.0,500.0,500.0,499.6,500.0,499.8,499.6,500.2,498.8,499.8
2022-06-02 15:54:09.882227,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,499.8,499.8,500.4,499.8,500.2,499.6,500.4
2022-06-02 15:54:10.913245,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.2,500.2,499.8,500.2,500.4,499.2,500.0
2022-06-02 15:54:11.912999,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.2,499.8,500.0,499.6,500.0,500.4,498.6,500.0
2022-06-02 15:54:12.881526,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,499.8,500.0,500.2,500.0,500.8,499.2,500.0
2022-06-02 15:54:13.928161,500.0,500.0,500.0,501.0,500.0,500.0,500.0,500.0,500.2,499.6,499.6,500.4,500.0,500.6,498.8,499.8
